rule,name,value
ruler_42_lr,differential,-1.104
ruler_42_lr-rev,differential,1.104
ruler_43_lr,differential,1.2040000000000006
ruler_43_lr-rev,differential,-1.2040000000000006
ruler_44_lr,differential,-1.104
ruler_44_lr-rev,differential,1.104
ruler_45_lr,differential,100.70100000000001
ruler_45_lr-rev,differential,-100.70100000000001
ruler_46_lr,differential,100.70100000000001
ruler_46_lr-rev,differential,-100.70100000000001
ruler_47_lr,differential,100.70100000000001
ruler_47_lr-rev,differential,-100.70100000000001
ruler_48_lr,differential,-102.105
ruler_48_lr-rev,differential,102.105
ruler_49_lr,differential,-102.105
ruler_49_lr-rev,differential,102.105
ruler_50_lr,differential,-102.105
ruler_50_lr-rev,differential,102.105
ruler_51_lr,differential,-102.105
ruler_51_lr-rev,differential,102.105
ruler_52_lr,differential,-1.4039999999999964
ruler_52_lr-rev,differential,1.4039999999999964
ruler_53_lr,differential,-1.4039999999999964
ruler_53_lr-rev,differential,1.4039999999999964
ruler_54_lr,differential,-1.4039999999999964
ruler_54_lr-rev,differential,1.4039999999999964
ruler_55_lr,differential,100.70100000000001
ruler_55_lr-rev,differential,-100.70100000000001
litvec,differential,0.399
litvec-0-0,differential,0.399
litvec-0-1,differential,0.399
litvec-0-2,differential,0.399
litvec-0-3,differential,0.399
