rule,name,value
ruler_54_r,average,10.001999999999999
ruler_55_r,average,10.001999999999999
ruler_56_r,average,1.6055
ruler_57_r,average,1.6055
ruler_58_r,average,1.105
ruler_59_r,average,1.105
ruler_60_r,average,2.106
ruler_61_r,average,1.6055
ruler_62_r,average,1.6055
ruler_63_r,average,1.5539999999999998
ruler_64_r,average,1.5539999999999998
ruler_65_r,average,1.5539999999999998
ruler_66_r,average,1.5539999999999998
ruler_67_r,average,1.5539999999999998
ruler_68_r,average,1.5539999999999998
ruler_69_r,average,1.5539999999999998
ruler_70_r,average,1.5539999999999998
ruler_71_r,average,2021.3079999999998
ruler_72_r,average,2021.3079999999998
ruler_73_r,average,1.0019999999999998
ruler_74_r,average,1.0019999999999998
ruler_75_r,average,10.001999999999999
ruler_76_r,average,10.001999999999999
ruler_77_r,average,0.7080000000000002
ruler_78_r,average,0.7080000000000002
ruler_79_r,average,0.7080000000000002
ruler_80_r,average,0.7080000000000002
ruler_81_r,average,1.612
ruler_82_r,average,1.612
ruler_83_r,average,1.762
ruler_84_r,average,1.762
ruler_85_r,average,1.762
ruler_86_r,average,1.762
ruler_87_r,average,1.762
ruler_88_r,average,1.762
ruler_89_r,average,1.762
ruler_90_r,average,1.762
ruler_91_r,average,1.658
ruler_92_r,average,1.658
ruler_93_r,average,1.912
ruler_94_r,average,1.912
ruler_95_r,average,1.762
ruler_96_r,average,1.762
ruler_97_r,average,1.912
ruler_98_r,average,1.912
ruler_99_r,average,1.612
ruler_100_r,average,1.612
ruler_101_r,average,1.209
ruler_102_r,average,1.209
ruler_103_r,average,1.209
ruler_104_r,average,1.209
ruler_105_r,average,1.7095
ruler_106_r,average,1.7095
ruler_107_r,average,1.7095
ruler_108_r,average,1.658
ruler_109_r,average,1.658
ruler_110_r,average,1.658
ruler_111_r,average,1.658
ruler_112_r,average,1.658
ruler_113_r,average,1.658
ruler_114_r,average,1.658
ruler_115_r,average,1.658
ruler_116_r,average,1.658
ruler_117_r,average,1.658
ruler_118_r,average,3.1079999999999997
ruler_119_r,average,3.1079999999999997
ruler_120_r,average,3.1079999999999997
ruler_121_r,average,3.1079999999999997
ruler_122_r,average,3.1079999999999997
ruler_123_r,average,3.1079999999999997
ruler_124_r,average,3.1079999999999997
ruler_125_r,average,3.1079999999999997
ruler_126_r,average,3.1079999999999997
ruler_127_r,average,3.1079999999999997
ruler_128_r,average,3.1079999999999997
ruler_129_r,average,3.1079999999999997
ruler_130_r,average,3.1079999999999997
ruler_131_r,average,3.1079999999999997
ruler_132_r,average,3.1079999999999997
ruler_133_r,average,3.1079999999999997
ruler_134_r,average,3.1079999999999997
ruler_135_r,average,3.1079999999999997
ruler_136_r,average,3.1079999999999997
ruler_137_r,average,3.1079999999999997
ruler_138_r,average,3.1079999999999997
ruler_139_r,average,3.1079999999999997
ruler_140_r,average,3.1079999999999997
ruler_141_r,average,3.1079999999999997
ruler_142_r,average,3.1079999999999997
ruler_143_r,average,3.1079999999999997
ruler_144_r,average,3.1079999999999997
ruler_145_r,average,3.1079999999999997
ruler_146_r,average,3.1079999999999997
ruler_147_r,average,3.1079999999999997
ruler_148_r,average,3.1079999999999997
ruler_149_r,average,3.1079999999999997
ruler_150_r,average,3.1079999999999997
ruler_151_r,average,3.1079999999999997
ruler_152_r,average,1.5544999999999998
ruler_153_r,average,1.5544999999999998
ruler_154_r,average,1.5544999999999998
ruler_155_r,average,1.5544999999999998
ruler_156_r,average,1.5544999999999998
ruler_157_r,average,1.5544999999999998
ruler_158_r,average,1.5544999999999998
ruler_159_r,average,1.5544999999999998
ruler_160_r,average,1.6059999999999999
ruler_161_r,average,1.6059999999999999
ruler_162_r,average,1.6059999999999999
ruler_163_r,average,1.6059999999999999
ruler_164_r,average,2.0549999999999997
ruler_165_r,average,2.0549999999999997
ruler_166_r,average,2.0549999999999997
ruler_167_r,average,2.0549999999999997
ruler_168_r,average,2.0549999999999997
ruler_169_r,average,2.0549999999999997
ruler_170_r,average,2.0549999999999997
ruler_171_r,average,2.0549999999999997
ruler_172_r,average,2.0549999999999997
ruler_173_r,average,2.0549999999999997
ruler_174_r,average,2.0549999999999997
ruler_175_r,average,2.0549999999999997
ruler_176_r,average,2.0549999999999997
ruler_177_r,average,2.0549999999999997
ruler_178_r,average,2.0549999999999997
ruler_179_r,average,2.0549999999999997
ruler_180_r,average,2.0549999999999997
ruler_181_r,average,2.0549999999999997
ruler_182_r,average,2.0549999999999997
ruler_183_r,average,2.0549999999999997
ruler_184_r,average,2.0549999999999997
ruler_185_r,average,2.0549999999999997
ruler_186_r,average,2.0549999999999997
ruler_187_r,average,2.0549999999999997
ruler_188_r,average,2.0549999999999997
ruler_189_r,average,2.0549999999999997
ruler_190_r,average,2.0549999999999997
ruler_191_r,average,2.0549999999999997
ruler_192_r,average,2.0549999999999997
ruler_193_r,average,2.0549999999999997
ruler_194_r,average,2.0549999999999997
ruler_195_r,average,2.0549999999999997
ruler_196_r,average,2.0549999999999997
ruler_197_r,average,2.0549999999999997
ruler_198_r,average,2.0549999999999997
ruler_199_r,average,2.0549999999999997
ruler_200_r,average,1.6064999999999998
ruler_201_r,average,1.6064999999999998
ruler_202_r,average,1.6064999999999998
ruler_203_r,average,1.6064999999999998
